City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,rawson,-43.3002,-65.1023,18.5,53,100,1.06,AR,1677988655
352,malanje,-9.5402,16.341,16.74,85,100,1.04,AO,1677988657
353,clarence town,-32.5833,151.7833,30.9,29,0,1.06,AU,1677988658
354,flinders,-34.5833,150.8552,29.54,64,1,3.13,AU,1677988659
355,fare,-16.7,-151.0167,27.98,71,69,5.57,PF,1677988661
356,grao mogol,-16.5594,-42.8897,16.17,83,0,0.71,BR,1677988662
357,hope,33.6671,-93.5916,14.03,79,0,2.24,US,1677988664
358,ispica,36.7844,14.9063,8.27,81,62,4.85,IT,1677988665
359,fomboni,-12.28,43.7425,28.48,75,98,8.03,KM,1677988666
360,kulunda,52.566,78.9385,-7.74,84,100,3.88,RU,1677988668
361,santa fe,-31.6333,-60.7,28.9,77,3,0.45,AR,1677988450
362,plainview,40.7765,-73.4673,5.29,75,100,0.45,US,1677988670
363,noumea,-22.2763,166.4572,27.99,73,64,7.15,NC,1677988672
364,tucuma,-0.1833,-50.05,23.82,94,100,1.64,BR,1677988673
365,viseu,40.661,-7.9097,7.7,68,100,2.13,PT,1677988675
366,auki,-8.7676,160.7034,28.12,73,100,4.83,SB,1677988676
367,caluquembe,-13.7833,14.6833,16.65,81,96,1.35,AO,1677988677
368,geraldton,-28.7667,114.6,27.23,47,0,6.17,AU,1677988679
369,bilibino,68.0546,166.4372,-21.8,95,100,1.08,RU,1677988680
370,shingu,33.7333,135.9833,13.21,48,76,2.37,JP,1677988683
371,moose factory,51.2585,-80.6094,-4.0,80,0,3.09,CA,1677988684
372,doka,13.5167,35.7667,25.37,30,3,1.51,SD,1677988686
373,taseyevo,57.2169,94.8978,-8.45,80,99,4.24,RU,1677988687
374,skjervoy,70.0311,20.9714,-3.0,71,100,10.88,NO,1677988688
375,baoqing,46.3317,132.2111,5.17,72,0,3.7,CN,1677988691
376,vitim,59.4511,112.5578,-7.65,92,100,5.84,RU,1677988692
377,paamiut,61.994,-49.6678,0.55,74,99,4.99,GL,1677988694
378,rocha,-34.4833,-54.3333,19.83,97,15,2.15,UY,1677988695
379,abha,18.2164,42.5053,13.9,71,0,0.0,SA,1677988504
380,springbok,-29.6643,17.8865,12.93,89,78,2.71,ZA,1677988698
381,guantanamo,20.1444,-75.2092,23.76,80,72,1.92,CU,1677988699
382,sitka,57.0531,-135.33,1.94,44,20,3.09,US,1677988530
383,boueni,-12.9025,45.0761,28.99,75,91,7.25,YT,1677988704
384,aksu,41.1231,80.2644,9.89,30,100,1.37,CN,1677988706
385,richards bay,-28.783,32.0377,22.37,92,85,2.62,ZA,1677988707
386,ayame,5.6083,-3.1563,23.47,93,100,0.92,CI,1677988708
387,agropoli,40.3469,14.9966,7.12,84,100,2.32,IT,1677988710
388,corner brook,48.9667,-57.9484,-11.91,96,96,2.77,CA,1677988530
389,ascoli piceno,42.8548,13.5749,5.14,86,8,1.95,IT,1677988715
390,sivaki,52.6333,126.75,2.26,88,62,4.02,RU,1677988716
391,srednekolymsk,67.45,153.6833,-29.39,82,6,0.77,RU,1677988718
